Source,Target,Label,Type
10,14,"Edge 10 to 14","Mixed"
10,21,"Edge 10 to 21","Mixed"
10,23,"Edge 10 to 23","Mixed"
10,24,"Edge 10 to 24","Mixed"
10,28,"Edge 10 to 28","Mixed"
10,51,"Edge 10 to 51","Mixed"
10,61,"Edge 10 to 61","Mixed"
10,62,"Edge 10 to 62","Mixed"
10,86,"Edge 10 to 86","Mixed"
10,104,"Edge 10 to 104","Mixed"
10,114,"Edge 10 to 114","Mixed"
10,120,"Edge 10 to 120","Mixed"
10,125,"Edge 10 to 125","Mixed"
11,1,"Edge 11 to 1","Mixed"
11,3,"Edge 11 to 3","Mixed"
11,6,"Edge 11 to 6","Mixed"
11,8,"Edge 11 to 8","Mixed"
11,9,"Edge 11 to 9","Mixed"
11,22,"Edge 11 to 22","Mixed"
11,27,"Edge 11 to 27","Mixed"
11,44,"Edge 11 to 44","Mixed"
11,55,"Edge 11 to 55","Mixed"
11,76,"Edge 11 to 76","Mixed"
11,84,"Edge 11 to 84","Mixed"
11,99,"Edge 11 to 99","Mixed"
11,103,"Edge 11 to 103","Mixed"
11,107,"Edge 11 to 107","Mixed"
11,124,"Edge 11 to 124","Mixed"
12,3,"Edge 12 to 3","Mixed"
12,4,"Edge 12 to 4","Mixed"
12,5,"Edge 12 to 5","Mixed"
12,9,"Edge 12 to 9","Mixed"
12,10,"Edge 12 to 10","Mixed"
12,21,"Edge 12 to 21","Mixed"
12,24,"Edge 12 to 24","Mixed"
12,34,"Edge 12 to 34","Mixed"
12,39,"Edge 12 to 39","Mixed"
12,43,"Edge 12 to 43","Mixed"
12,51,"Edge 12 to 51","Mixed"
12,59,"Edge 12 to 59","Mixed"
12,67,"Edge 12 to 67","Mixed"
12,68,"Edge 12 to 68","Mixed"
12,72,"Edge 12 to 72","Mixed"
12,76,"Edge 12 to 76","Mixed"
12,85,"Edge 12 to 85","Mixed"
12,107,"Edge 12 to 107","Mixed"
12,118,"Edge 12 to 118","Mixed"
13,1,"Edge 13 to 1","Mixed"
13,2,"Edge 13 to 2","Mixed"
13,3,"Edge 13 to 3","Mixed"
13,5,"Edge 13 to 5","Mixed"
13,7,"Edge 13 to 7","Mixed"
13,17,"Edge 13 to 17","Mixed"
13,20,"Edge 13 to 20","Mixed"
13,21,"Edge 13 to 21","Mixed"
13,22,"Edge 13 to 22","Mixed"
13,30,"Edge 13 to 30","Mixed"
13,34,"Edge 13 to 34","Mixed"
13,47,"Edge 13 to 47","Mixed"
13,59,"Edge 13 to 59","Mixed"
13,77,"Edge 13 to 77","Mixed"
13,78,"Edge 13 to 78","Mixed"
13,82,"Edge 13 to 82","Mixed"
13,123,"Edge 13 to 123","Mixed"
13,128,"Edge 13 to 128","Mixed"
14,2,"Edge 14 to 2","Mixed"
14,3,"Edge 14 to 3","Mixed"
14,4,"Edge 14 to 4","Mixed"
14,5,"Edge 14 to 5","Mixed"
14,10,"Edge 14 to 10","Mixed"
14,16,"Edge 14 to 16","Mixed"
14,19,"Edge 14 to 19","Mixed"
14,27,"Edge 14 to 27","Mixed"
14,29,"Edge 14 to 29","Mixed"
14,110,"Edge 14 to 110","Mixed"
14,113,"Edge 14 to 113","Mixed"
15,1,"Edge 15 to 1","Mixed"
15,2,"Edge 15 to 2","Mixed"
15,3,"Edge 15 to 3","Mixed"
15,4,"Edge 15 to 4","Mixed"
15,8,"Edge 15 to 8","Mixed"
15,17,"Edge 15 to 17","Mixed"
15,20,"Edge 15 to 20","Mixed"
15,29,"Edge 15 to 29","Mixed"
15,32,"Edge 15 to 32","Mixed"
15,37,"Edge 15 to 37","Mixed"
15,39,"Edge 15 to 39","Mixed"
15,45,"Edge 15 to 45","Mixed"
15,46,"Edge 15 to 46","Mixed"
15,48,"Edge 15 to 48","Mixed"
15,81,"Edge 15 to 81","Mixed"
15,91,"Edge 15 to 91","Mixed"
15,96,"Edge 15 to 96","Mixed"
15,107,"Edge 15 to 107","Mixed"
15,114,"Edge 15 to 114","Mixed"
16,3,"Edge 16 to 3","Mixed"
16,4,"Edge 16 to 4","Mixed"
16,5,"Edge 16 to 5","Mixed"
16,7,"Edge 16 to 7","Mixed"
16,14,"Edge 16 to 14","Mixed"
16,23,"Edge 16 to 23","Mixed"
16,33,"Edge 16 to 33","Mixed"
16,36,"Edge 16 to 36","Mixed"
16,41,"Edge 16 to 41","Mixed"
16,47,"Edge 16 to 47","Mixed"
16,53,"Edge 16 to 53","Mixed"
16,57,"Edge 16 to 57","Mixed"
16,81,"Edge 16 to 81","Mixed"
16,87,"Edge 16 to 87","Mixed"
16,111,"Edge 16 to 111","Mixed"
16,112,"Edge 16 to 112","Mixed"
17,2,"Edge 17 to 2","Mixed"
17,3,"Edge 17 to 3","Mixed"
17,5,"Edge 17 to 5","Mixed"
17,13,"Edge 17 to 13","Mixed"
17,15,"Edge 17 to 15","Mixed"
17,24,"Edge 17 to 24","Mixed"
17,25,"Edge 17 to 25","Mixed"
